0B;8B;16B;32B;64B;128B;256B;512B;1024B
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
140;170;200;260;382;624;1109;2079;4016
140;171;200;260;381;624;1109;2080;4016
140;170;200;262;381;623;1109;2079;4016
141;170;200;260;382;624;1110;2079;4016
140;170;201;260;381;624;1109;2079;4016
