0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;421;279;560;347;700;417;839
108;215;141;282;210;422;280;560;347;700;417;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;560;347;700;416;839
109;215;141;282;210;421;280;561;347;700;416;839
108;216;141;282;210;422;280;561;347;699;416;839
108;216;141;282;210;421;280;561;347;699;416;839
108;216;141;282;210;420;280;561;347;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;141;282;210;420;279;561;348;699;416;839
108;216;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;349;699;416;839
108;215;142;282;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;348;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;349;700;416;839
108;215;141;283;210;420;279;561;348;700;416;838
108;215;141;283;210;420;279;561;349;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;283;211;420;279;560;347;700;417;838
108;215;141;282;211;420;279;560;347;700;417;839
108;215;141;282;211;421;279;560;347;700;417;839
