0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;201;122;249;146;298
38;78;53;108;75;151;99;200;124;249;146;298
38;78;53;108;75;151;99;200;122;250;148;298
38;78;53;108;75;152;99;200;122;249;146;299
38;78;53;108;75;151;99;202;122;249;146;298
38;79;53;108;75;151;99;200;124;249;146;298
38;78;53;109;75;151;99;200;122;250;147;298
38;78;53;108;75;153;99;200;122;249;146;300
38;78;53;108;75;151;100;200;122;249;146;298
38;78;53;108;75;151;99;201;123;249;146;298
38;78;53;108;75;151;99;200;122;251;146;298
38;78;53;108;76;151;99;200;122;249;146;300
38;78;53;108;75;151;99;200;122;249;146;299
40;78;53;108;75;151;99;201;122;249;146;298
38;78;54;108;75;151;99;200;122;250;146;298
38;78;53;108;75;151;99;200;122;249;148;298
38;78;53;108;75;152;99;200;122;249;146;299
