0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
182;368;236;459;312;631;407;807;483;989;578;1162
182;377;227;468;312;640;398;815;486;981;569;1162
191;368;227;468;312;640;398;806;494;989;579;1163
181;370;227;459;321;631;407;815;483;989;579;1163
182;368;227;468;312;640;398;814;493;989;570;1172
181;368;236;459;314;631;407;808;484;989;578;1163
181;377;227;458;312;640;398;814;484;981;569;1163
191;368;227;467;312;641;398;805;493;988;578;1163
182;377;227;459;321;631;407;814;484;988;579;1163
181;368;227;468;312;640;398;814;493;988;570;1171
182;368;236;459;314;632;407;814;484;988;579;1163
182;378;227;468;312;641;398;815;485;989;569;1162
191;368;227;468;312;640;398;805;492;988;578;1162
182;368;227;458;321;631;408;814;483;989;578;1163
182;377;227;467;312;640;397;814;493;989;570;1162
182;368;236;459;312;631;407;815;484;989;576;1163
190;368;226;467;312;640;397;815;492;989;571;1163
182;377;227;458;321;633;397;815;483;989;569;1163
191;368;227;459;312;631;407;807;484;989;579;1162
182;377;227;459;319;634;397;814;484;989;577;1163
191;368;227;468;312;640;398;805;492;989;578;1163
182;377;226;468;311;640;398;814;492;989;569;1163
182;368;236;458;321;631;407;814;484;988;579;1162
182;368;227;468;312;640;398;814;493;988;570;1172
182;368;236;459;314;631;407;814;484;988;579;1163
182;378;227;459;312;641;398;815;483;981;569;1162
191;368;227;469;312;640;397;805;492;988;578;1163
182;368;227;459;321;631;407;814;483;988;579;1162
182;377;227;468;312;641;398;814;493;988;569;1163
182;368;227;458;312;640;407;805;492;988;578;1162
182;370;226;459;321;631;406;815;484;988;579;1163
182;368;227;467;312;640;398;814;493;989;569;1172
182;368;236;459;312;631;407;807;483;989;579;1162
181;377;227;458;319;633;398;814;484;988;579;1163
184;368;227;468;312;640;398;815;493;989;569;1163
182;368;236;459;321;631;407;814;483;988;578;1162
182;377;227;459;312;640;398;815;483;988;570;1163
191;368;227;468;312;641;398;814;493;989;570;1163
182;368;236;458;321;631;407;814;484;988;578;1163
182;377;227;461;312;641;398;815;483;981;569;1162
191;368;226;467;312;641;398;814;492;988;571;1163
181;368;236;459;321;631;407;815;484;989;579;1162
182;377;227;461;312;640;397;814;483;981;569;1163
191;368;227;467;312;640;398;814;494;988;572;1162
182;368;236;459;321;632;407;814;483;989;578;1163
181;377;227;461;312;640;398;814;483;989;570;1162
190;368;226;468;312;640;398;814;493;988;570;1163
182;368;236;458;321;631;407;815;483;989;578;1163
182;377;227;461;312;640;398;814;484;981;570;1162
190;368;227;468;312;640;398;805;493;988;578;1163
181;368;227;459;321;631;407;814;483;989;578;1162
182;377;226;468;312;640;398;814;492;988;570;1162
182;368;227;459;312;641;407;805;493;989;578;1162
182;368;227;459;322;631;407;814;484;988;578;1163
181;377;227;468;312;640;397;815;492;988;570;1163
182;368;227;458;312;640;407;805;493;988;579;1162
182;368;226;459;321;631;407;814;483;989;578;1163
182;377;227;467;312;640;398;814;493;988;570;1162
182;368;227;459;312;640;407;806;493;988;579;1162
182;370;227;459;321;631;407;815;483;988;578;1163
182;377;226;468;312;640;397;814;493;988;570;1163
182;368;227;459;312;640;406;805;492;989;579;1163
181;370;227;459;321;631;407;814;483;988;578;1163
182;368;227;468;312;640;398;814;493;988;569;1172
182;368;236;458;312;631;407;807;483;988;579;1163
182;377;227;459;321;632;398;814;484;989;578;1163
184;368;227;467;312;640;398;815;492;988;569;1172
181;368;236;459;312;631;406;807;484;988;579;1162
182;378;227;458;322;631;398;814;484;988;577;1163
190;368;227;468;312;640;398;814;492;989;570;1171
181;368;236;459;312;631;407;807;484;988;578;1163
182;377;227;458;321;632;398;814;484;988;579;1163
191;368;226;467;312;640;398;814;492;989;570;1172
181;368;236;459;312;631;407;807;484;989;578;1163
182;378;226;458;312;640;397;814;493;988;569;1163
182;368;227;459;321;640;397;814;492;988;569;1172
182;378;227;468;312;641;407;815;484;988;579;1162
182;377;227;468;312;640;397;815;483;981;569;1163
191;368;229;459;314;631;407;815;484;988;579;1162
181;368;226;467;312;640;397;815;492;989;570;1163
182;377;227;458;312;640;397;814;484;981;570;1162
191;368;227;468;312;640;398;806;492;988;578;1163
182;377;227;459;312;641;398;815;484;981;570;1162
191;368;227;467;312;640;398;814;493;988;571;1163
182;368;236;459;321;631;407;815;483;989;578;1163
182;377;227;468;312;640;398;814;493;988;570;1164
181;368;228;459;312;640;407;805;493;989;579;1163
182;377;227;460;312;640;398;814;484;982;569;1163
191;368;228;458;314;631;407;815;484;989;579;1162
182;368;227;468;311;640;398;814;492;989;570;1162
182;368;235;458;321;631;407;815;483;988;578;1164
182;377;227;467;312;640;398;814;493;988;570;1164
182;368;228;458;312;640;406;805;492;988;578;1163
181;370;227;459;321;631;407;815;484;989;579;1162
182;368;227;467;312;640;398;814;493;988;569;1172
182;368;236;458;312;631;407;807;483;989;578;1163
181;377;227;459;312;640;398;814;485;982;569;1163
191;368;227;467;312;640;398;815;492;989;571;1163
182;368;234;459;321;631;407;814;484;988;579;1163
181;377;227;468;312;640;398;814;485;988;569;1162
191;368;227;468;312;640;398;814;493;988;571;1162
182;368;234;459;321;631;407;814;484;989;579;1162
182;377;227;468;312;640;398;814;492;989;569;1163
182;368;229;459;312;640;407;805;493;989;578;1163
181;378;227;459;322;631;398;814;484;988;569;1162
191;368;227;468;312;640;398;814;493;989;571;1162
181;368;237;459;321;631;407;814;483;989;578;1163
181;377;227;467;312;640;398;814;492;988;569;1163
182;368;228;459;312;641;407;805;493;988;579;1163
182;370;227;458;321;631;405;814;484;988;578;1163
182;368;227;468;312;640;398;815;493;989;570;1171
182;368;236;459;312;631;407;807;483;988;578;1162
182;378;227;458;312;640;398;814;483;981;570;1162
191;368;227;468;312;641;398;805;493;989;579;1163
182;370;227;459;321;631;407;814;484;988;579;1162
182;368;227;468;312;640;398;815;493;989;569;1165
182;368;228;459;312;640;407;806;490;989;578;1164
182;377;227;458;321;631;405;814;484;989;578;1163
182;368;227;468;312;640;398;814;493;988;570;1171
182;369;237;458;312;631;406;807;484;988;579;1162
182;377;227;459;319;633;398;814;483;988;577;1162
191;368;227;468;312;641;398;814;492;988;570;1171
182;368;236;459;314;631;407;814;484;989;578;1163
181;377;227;460;312;640;397;815;485;981;570;1162
191;368;227;467;312;640;398;814;493;988;571;1162
182;368;234;459;321;631;407;814;483;989;578;1162
181;377;227;468;312;641;398;814;493;988;569;1163
182;368;229;459;312;640;407;805;493;988;579;1162
182;370;227;459;321;631;407;815;483;989;579;1163
182;369;227;468;312;640;398;814;493;988;570;1172
182;368;236;459;312;631;407;807;483;989;578;1162
182;377;227;459;312;640;398;814;484;981;569;1162
191;368;227;469;312;641;398;815;492;988;571;1162
182;368;236;459;321;631;407;814;484;989;579;1162
182;378;227;468;312;641;398;814;486;981;569;1162
191;368;227;467;312;640;398;806;492;988;578;1163
182;370;227;459;321;632;405;815;484;988;579;1162
181;368;227;468;312;640;398;814;492;988;569;1171
182;368;236;459;312;631;407;807;483;989;578;1163
182;378;226;459;312;640;398;814;484;982;570;1163
191;368;227;467;312;640;398;806;492;989;579;1162
182;368;227;458;321;632;407;814;483;988;579;1163
184;368;227;468;312;641;398;814;492;989;569;1173
182;368;236;459;314;631;407;807;483;989;578;1163
182;377;227;459;312;640;398;814;484;982;569;1162
191;368;227;468;312;640;398;814;493;988;571;1162
182;368;236;459;321;631;407;814;484;989;578;1163
181;377;227;468;312;641;398;814;492;989;569;1163
189;368;227;468;312;640;397;805;492;989;578;1163
182;370;226;459;321;631;407;815;484;988;579;1163
182;377;227;468;312;640;398;814;493;988;570;1164
182;368;229;459;312;641;407;805;493;989;579;1162
182;377;226;459;321;631;398;814;484;988;577;1162
191;368;227;467;312;640;398;814;492;989;569;1162
182;368;236;459;321;631;407;814;484;988;579;1162
182;377;227;468;312;640;398;815;493;988;570;1162
190;368;227;459;312;640;399;805;492;988;579;1163
181;370;227;459;321;631;407;814;484;989;578;1162
182;368;227;469;312;640;398;814;493;988;569;1172
182;368;236;459;312;640;407;806;483;989;578;1163
182;377;227;467;312;641;398;815;493;988;569;1171
182;368;236;458;321;631;405;814;483;989;578;1163
182;368;227;468;312;641;398;805;493;988;579;1162
181;377;227;458;312;641;398;815;483;981;570;1162
191;368;226;458;312;640;406;805;494;989;578;1162
182;377;227;458;321;631;405;814;484;989;578;1163
183;368;226;468;312;640;398;814;493;989;570;1172
182;368;236;458;321;631;407;815;484;989;578;1162
181;377;227;468;312;640;398;814;493;989;569;1163
182;368;229;459;312;631;407;807;484;989;578;1163
182;377;227;460;312;640;398;814;486;981;570;1162
191;369;227;468;312;640;400;805;493;988;578;1163
182;370;227;459;321;631;407;814;484;988;579;1163
182;368;227;468;312;641;398;814;493;988;570;1171
181;368;236;458;313;631;407;807;484;988;579;1162
181;377;227;460;312;641;398;814;486;981;570;1162
191;368;227;467;312;640;398;805;493;988;579;1162
182;370;227;459;321;631;407;815;484;989;579;1162
184;368;227;468;312;640;398;814;493;989;569;1172
182;368;236;459;314;631;407;807;483;990;578;1163
182;377;227;460;312;641;398;815;485;981;569;1162
191;368;227;468;312;640;398;806;493;988;579;1162
182;370;227;459;321;631;407;814;484;988;578;1162
182;368;227;468;312;641;398;815;493;988;569;1173
182;368;236;459;315;631;407;807;484;988;578;1163
182;377;227;461;311;641;398;814;483;981;569;1162
190;368;227;468;312;640;397;805;493;989;578;1162
182;370;227;459;321;631;407;814;483;988;579;1163
182;368;227;468;312;641;398;814;493;988;570;1163
182;368;234;459;321;631;406;814;484;988;579;1163
181;377;226;468;312;640;397;815;493;989;569;1164
181;368;236;458;312;631;406;807;483;989;579;1163
182;377;227;459;319;633;398;814;483;989;577;1162
184;368;227;468;312;640;398;815;493;988;569;1172
181;368;236;458;321;631;407;814;483;988;579;1163
182;368;227;468;312;640;398;815;493;989;569;1162
182;368;236;459;321;631;407;815;484;989;578;1164
182;377;227;468;312;640;398;814;492;989;569;1163
182;368;236;459;321;632;407;814;483;989;578;1163
182;378;227;468;312;640;398;814;485;989;569;1163
189;368;237;459;321;631;407;814;484;988;579;1163
182;377;227;459;312;641;398;814;485;981;569;1163
191;368;229;458;312;631;407;807;484;989;578;1162
182;377;226;459;312;641;398;815;483;982;569;1163
191;369;229;458;314;631;407;814;483;988;579;1162
182;377;227;467;312;640;398;815;492;988;569;1164
182;368;236;459;321;631;407;814;484;989;578;1162
182;368;227;467;312;640;398;805;493;988;579;1163
182;378;227;459;312;640;397;814;483;981;570;1162
191;368;227;459;312;640;407;805;491;989;579;1163
182;377;226;459;321;631;398;815;484;988;569;1162
190;368;227;467;312;640;398;814;493;988;579;1162
182;368;236;459;321;632;407;815;483;988;578;1163
182;378;227;468;312;640;397;814;493;988;570;1163
190;368;227;467;312;640;398;805;493;989;578;1162
182;368;227;458;321;631;407;814;484;989;578;1163
182;368;227;468;312;640;398;815;492;989;569;1171
182;368;236;459;314;631;407;807;484;989;578;1162
182;377;226;458;319;633;398;814;484;988;577;1162
191;368;227;468;312;640;398;815;492;989;569;1172
182;368;236;458;314;631;407;815;484;988;579;1162
182;377;226;461;312;640;398;814;485;981;569;1163
191;368;227;468;312;640;398;805;493;990;578;1163
182;368;226;459;321;632;407;815;484;988;578;1162
182;368;226;468;312;640;397;815;492;988;569;1173
182;368;236;459;314;631;407;808;484;989;578;1163
182;377;227;459;319;633;398;815;483;988;576;1163
184;369;227;467;312;640;398;815;492;989;569;1172
182;368;227;458;320;633;398;814;483;989;569;1163
191;368;229;459;312;631;407;815;483;989;579;1162
182;368;227;468;312;640;398;815;493;988;570;1163
182;369;227;459;320;633;398;814;483;989;570;1163
191;368;227;459;312;632;407;807;484;988;578;1162
181;378;227;467;312;641;398;814;486;988;570;1163
189;368;227;458;312;640;399;806;492;989;578;1163
182;370;227;459;321;632;407;815;484;988;579;1162
182;368;227;468;312;641;398;815;493;988;570;1172
182;368;236;458;312;631;407;807;484;989;578;1162
182;378;227;459;312;640;397;814;484;981;569;1163
191;368;227;468;312;641;398;814;493;988;580;1163
182;368;234;458;321;632;407;815;483;989;578;1162
182;377;227;467;312;640;398;814;492;989;569;1163
181;368;227;458;312;640;406;805;492;988;579;1163
181;370;227;459;321;632;406;814;483;988;578;1162
181;368;227;468;312;640;398;814;493;989;570;1172
182;368;236;459;312;631;407;807;484;988;579;1163
181;377;227;458;312;641;398;814;484;981;570;1162
191;368;227;467;312;641;398;815;493;989;571;1162
182;368;234;459;321;632;407;815;483;988;579;1162
182;377;227;468;312;641;398;815;493;989;569;1165
182;368;229;458;312;641;407;806;493;989;578;1163
181;378;227;459;321;631;398;815;483;989;570;1162
191;368;227;468;312;640;398;814;493;989;571;1162
182;368;236;459;321;631;407;814;484;989;579;1162
182;377;227;467;312;641;398;814;486;989;570;1163
192;368;227;468;312;641;398;815;493;989;571;1163
182;368;236;458;321;631;407;814;484;988;579;1163
181;378;227;460;312;640;397;814;485;982;569;1162
191;368;227;467;312;640;398;815;493;988;572;1162
182;369;236;458;321;631;408;814;484;988;579;1162
182;377;227;467;312;640;398;814;493;988;570;1162
182;368;229;459;312;640;407;805;493;988;579;1163
182;370;227;458;321;631;405;815;484;988;578;1163
181;368;227;468;312;640;397;814;492;989;569;1171
182;369;236;459;314;631;407;807;483;988;579;1162
182;377;226;459;312;640;397;814;484;981;569;1163
191;369;227;467;312;640;398;806;492;988;579;1163
182;368;227;459;321;631;407;814;483;989;579;1163
182;368;227;468;312;641;398;815;493;989;570;1171
182;368;236;458;312;631;407;807;483;989;578;1163
182;377;227;459;312;640;398;815;484;982;570;1162
191;369;226;468;312;641;398;815;493;989;571;1163
182;368;236;458;321;631;408;814;484;988;578;1162
182;368;227;467;312;640;400;805;493;988;578;1163
182;377;227;468;312;640;398;815;493;989;569;1163
182;368;236;458;321;631;407;815;483;989;578;1162
182;368;227;468;312;641;398;806;493;988;578;1162
182;377;227;467;312;640;397;814;492;988;569;1172
182;368;236;459;312;640;406;805;491;989;579;1162
182;377;227;458;321;631;398;814;484;988;576;1162
184;368;227;468;312;640;397;814;492;988;569;1172
182;368;236;458;314;631;407;808;484;989;578;1162
182;377;227;458;312;641;398;815;486;981;570;1162
192;368;227;467;312;640;398;814;493;989;571;1163
182;368;236;459;322;631;406;814;484;989;578;1163
182;377;227;469;312;641;398;815;485;989;570;1163
191;368;227;468;312;640;398;805;493;989;578;1163
181;370;227;458;321;631;407;814;483;988;578;1163
181;368;227;468;312;640;398;815;493;989;570;1172
182;368;235;459;312;631;407;807;484;988;578;1163
182;378;227;458;312;640;398;815;485;981;570;1163
191;369;227;468;312;640;398;815;492;990;571;1162
182;368;234;459;321;631;406;815;483;988;578;1163
182;377;226;468;312;640;398;814;493;988;570;1163
181;368;229;459;312;640;400;805;493;989;578;1163
182;370;227;459;321;631;398;814;484;989;579;1162
184;368;227;468;312;640;398;815;492;988;569;1172
182;368;234;459;321;631;398;814;483;989;577;1163
191;368;227;458;312;631;407;807;484;988;578;1163
182;378;227;467;312;640;398;815;493;989;569;1172
182;369;236;458;322;631;407;814;484;988;578;1163
182;368;227;468;312;640;398;815;493;989;571;1163
181;368;227;459;321;631;405;814;483;989;579;1163
182;368;227;468;312;641;398;814;493;988;570;1172
181;368;236;458;314;631;407;815;484;989;578;1163
182;377;227;458;312;640;398;814;484;982;570;1163
191;368;227;467;312;641;398;814;493;990;571;1162
182;368;236;458;321;631;407;814;484;988;578;1162
181;378;226;468;312;640;398;814;493;989;569;1163
181;368;228;459;312;640;407;806;483;988;579;1162
181;377;226;458;319;633;398;814;484;989;576;1163
192;368;227;468;312;641;398;814;492;989;569;1171
182;368;236;459;314;631;407;814;484;989;579;1163
182;377;227;458;312;640;398;815;484;981;570;1162
191;368;227;468;312;640;398;814;493;989;569;1163
182;368;236;459;321;632;407;815;483;989;578;1162
181;377;227;468;312;640;397;814;486;988;570;1162
189;368;227;468;312;640;397;814;494;988;571;1163
182;368;235;459;321;631;406;814;483;988;578;1162
182;377;227;468;312;640;398;815;485;989;569;1163
189;368;227;468;312;640;398;814;493;989;571;1162
182;368;236;459;321;631;406;815;484;981;569;1163
191;368;236;459;314;633;398;814;492;989;569;1171
182;378;227;467;312;631;407;814;484;989;570;1162
191;368;236;459;312;631;407;807;484;988;578;1163
182;377;227;460;312;640;398;815;484;981;570;1164
191;368;229;459;314;631;407;814;483;989;578;1163
182;377;227;468;312;640;398;814;493;988;570;1164
182;368;229;459;312;640;406;805;493;989;578;1163
182;369;226;459;321;631;407;814;483;989;578;1163
182;368;227;469;312;640;397;814;492;989;569;1172
182;368;236;459;312;631;407;807;483;988;578;1163
182;377;227;459;319;631;398;815;483;989;576;1163
191;368;227;468;312;640;397;814;492;988;569;1172
182;368;236;459;321;631;407;815;483;989;578;1163
181;377;227;459;312;640;398;815;484;981;570;1162
191;368;227;467;312;640;397;815;492;990;571;1162
181;368;236;459;321;631;407;814;484;981;569;1163
191;368;236;467;312;641;398;805;483;989;578;1162
182;368;227;459;321;640;398;814;492;988;569;1171
182;377;227;468;312;640;398;814;493;989;571;1162
182;377;227;458;312;640;398;815;485;981;569;1163
191;368;229;459;313;631;407;814;484;990;579;1163
181;378;227;468;312;641;398;814;492;988;569;1165
182;368;236;459;321;631;407;815;483;989;579;1162
182;378;227;468;312;641;398;815;485;989;569;1163
191;368;227;468;312;640;397;805;492;988;578;1163
182;368;227;459;321;631;406;814;484;988;579;1162
181;368;227;468;312;640;398;814;493;988;569;1171
182;368;237;459;312;631;407;807;484;988;579;1163
182;377;227;459;312;640;398;814;485;981;569;1162
191;368;227;467;312;640;398;815;493;988;572;1163
182;368;236;458;321;631;407;814;484;988;579;1163
181;377;227;468;312;640;397;815;486;988;570;1163
191;368;227;467;312;640;398;806;493;988;579;1162
182;370;227;459;321;631;407;815;484;989;578;1162
182;368;227;468;312;640;397;815;492;988;572;1162
182;377;227;459;312;640;398;814;485;989;569;1163
191;368;227;468;312;640;398;814;492;988;571;1162
182;377;227;458;312;640;398;814;485;989;569;1163
191;368;229;459;321;631;407;815;483;988;578;1163
182;377;227;468;312;640;398;815;493;988;569;1163
181;368;236;459;321;631;407;815;483;988;578;1162
182;378;227;468;312;640;398;814;493;989;569;1163
182;368;227;459;312;640;407;805;493;989;578;1163
182;369;227;459;321;631;407;815;484;989;578;1163
182;368;227;468;312;641;397;815;492;989;569;1172
182;368;236;459;312;631;407;807;483;989;578;1163
182;377;227;460;312;641;398;814;484;982;569;1162
191;368;227;468;312;640;398;814;492;989;571;1163
182;368;236;458;321;631;407;815;483;989;578;1162
182;377;226;462;312;640;398;814;484;982;569;1163
191;368;227;468;312;640;398;814;493;989;572;1162
182;368;235;459;321;631;407;814;483;989;578;1163
182;377;227;461;312;640;398;815;483;981;569;1163
192;368;227;468;312;641;398;814;493;988;571;1163
182;368;227;459;321;631;407;815;483;989;578;1163
181;377;227;468;312;640;398;814;492;988;569;1162
182;368;226;459;312;640;406;805;491;988;578;1162
181;370;227;459;322;631;407;814;483;988;579;1162
181;368;227;468;312;640;397;814;492;988;569;1172
182;368;236;459;312;641;407;805;491;989;578;1163
182;370;227;459;321;631;407;814;483;988;578;1163
182;377;227;468;312;640;397;815;492;989;569;1162
182;368;227;459;312;640;407;806;493;989;578;1163
182;377;226;459;321;631;407;814;484;988;579;1163
182;368;227;467;312;641;398;814;493;989;569;1172
182;369;236;458;312;631;407;807;484;988;578;1163
182;378;227;458;312;640;398;814;486;981;569;1163
191;368;227;468;312;640;398;814;492;988;571;1162
182;368;236;458;322;632;407;814;483;989;579;1162
182;368;227;458;321;640;398;815;493;988;569;1162
182;368;236;459;322;631;406;814;484;988;578;1162
181;368;226;468;312;641;398;815;493;989;571;1162
182;368;234;459;321;631;407;815;483;989;578;1163
182;378;227;468;312;641;398;815;493;988;570;1163
182;368;228;458;312;640;407;806;493;989;578;1163
181;370;227;459;321;631;407;814;483;988;578;1163
182;377;227;467;312;641;398;815;493;989;570;1164
182;368;229;459;312;640;406;805;492;988;578;1162
182;370;227;459;321;631;407;815;483;989;579;1164
181;368;227;468;312;640;398;815;493;989;570;1172
182;368;236;458;312;640;407;805;484;988;578;1163
182;378;226;459;312;640;397;814;484;981;569;1163
191;368;227;467;312;641;398;805;492;989;579;1163
182;368;227;459;322;631;407;814;484;988;577;1163
191;368;227;459;314;631;407;814;484;988;578;1163
182;377;227;468;312;641;398;805;493;988;579;1162
181;377;227;459;322;631;398;814;484;988;577;1163
191;368;227;468;312;640;398;815;492;989;569;1162
181;368;227;458;321;631;398;815;483;988;577;1162
191;368;227;468;312;640;398;814;494;988;569;1163
182;368;227;459;321;632;398;815;483;989;570;1163
191;368;227;468;312;640;398;814;493;989;571;1162
181;368;227;458;322;631;405;815;483;989;578;1162
182;368;227;468;312;640;397;814;492;988;569;1172
182;368;236;459;314;631;407;807;483;988;579;1163
182;377;227;458;312;640;397;814;483;981;570;1162
192;368;226;468;312;640;398;805;492;989;578;1163
182;369;227;459;321;631;407;814;484;989;579;1162
182;377;227;469;312;640;398;814;493;988;569;1164
182;368;229;459;312;640;407;805;493;989;578;1163
181;370;227;459;321;631;407;815;484;989;579;1162
182;368;227;467;312;640;398;814;493;988;569;1171
181;368;236;458;314;631;407;807;483;988;579;1163
182;377;227;459;312;640;397;815;483;981;569;1162
191;368;227;468;312;640;398;814;493;990;571;1163
182;368;234;459;321;631;407;814;483;988;579;1163
182;377;227;460;312;640;398;814;484;982;570;1163
191;368;227;468;312;640;398;814;493;989;572;1162
182;368;234;459;321;631;407;815;484;989;578;1162
182;378;227;468;312;640;398;814;485;989;570;1162
189;368;227;468;311;640;397;805;492;988;578;1162
182;377;227;458;322;631;407;814;484;988;579;1162
182;368;226;467;312;640;397;814;492;988;569;1172
181;368;236;459;312;631;407;807;484;988;578;1163
182;377;227;459;312;641;398;815;483;981;569;1162
190;368;227;468;312;641;398;815;493;988;572;1163
182;369;236;458;321;631;406;814;483;989;579;1163
181;377;227;461;312;640;398;814;484;989;569;1162
191;368;227;468;312;640;398;815;492;988;571;1163
182;369;234;458;321;631;407;814;483;989;578;1164
182;378;227;468;312;640;398;814;485;988;569;1163
189;368;227;468;312;640;398;805;493;988;578;1163
182;368;227;458;321;631;407;814;484;989;579;1162
182;368;227;468;312;640;398;814;492;989;569;1171
182;368;236;458;312;631;407;807;483;988;578;1163
182;378;227;459;312;640;398;814;484;981;570;1162
191;368;226;468;312;640;398;815;493;988;571;1162
182;368;236;458;321;632;407;815;484;989;578;1163
181;378;227;461;312;640;398;814;484;982;569;1162
191;368;227;468;312;641;398;805;492;989;579;1163
181;370;227;459;321;631;407;814;483;989;579;1162
