0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
195;390;249;484;326;639;409;815;482;982;573;1149
195;400;240;493;318;648;400;815;491;982;564;1149
196;390;248;486;317;641;409;806;483;982;574;1149
194;400;240;485;319;646;399;815;482;975;566;1149
203;391;240;494;317;648;400;808;491;982;571;1149
195;390;242;484;326;639;401;815;482;983;574;1149
203;393;240;493;317;648;400;815;491;982;564;1151
195;390;249;484;326;639;409;815;482;982;573;1149
194;400;240;494;317;648;399;815;491;982;565;1149
197;391;248;486;317;641;408;806;483;982;573;1149
194;400;240;484;319;647;400;815;482;975;566;1149
204;391;240;493;318;648;400;808;491;982;571;1149
194;391;242;485;326;639;408;815;482;982;573;1149
195;393;240;494;317;648;400;815;491;982;564;1151
194;391;242;485;326;639;401;815;482;983;573;1149
194;392;240;494;317;648;399;808;491;982;571;1149
194;400;240;491;318;648;399;815;489;980;564;1149
196;391;249;484;326;639;409;815;482;982;573;1149
194;400;240;494;317;648;399;815;491;982;564;1157
194;390;247;484;325;641;409;814;482;982;573;1149
195;399;240;491;317;649;399;815;482;975;566;1149
204;391;240;494;317;648;400;808;491;982;571;1149
194;391;242;485;326;638;409;815;482;982;573;1149
195;393;240;495;317;648;399;815;490;982;564;1158
195;391;250;484;324;638;409;814;482;982;574;1149
195;400;241;492;317;648;400;815;489;980;565;1149
203;390;240;486;318;648;406;806;484;982;573;1149
194;399;240;484;319;646;400;816;482;975;566;1149
204;390;241;493;318;648;400;808;491;982;571;1149
194;391;242;485;326;639;409;815;482;983;573;1149
195;393;240;493;318;648;400;815;491;982;564;1151
195;390;249;484;327;639;408;816;482;982;574;1149
195;400;240;494;317;648;400;815;491;982;565;1149
196;391;240;486;317;640;408;806;483;982;573;1150
194;400;240;485;320;648;399;807;491;982;571;1149
194;399;240;491;317;648;399;815;489;982;565;1149
196;391;249;485;326;638;409;815;482;982;573;1149
194;393;241;494;318;648;399;808;491;982;571;1149
194;391;242;484;326;639;409;815;482;982;573;1149
195;393;240;494;317;648;400;815;491;982;564;1157
195;391;250;484;317;641;409;814;482;982;573;1149
194;400;240;484;319;646;400;815;482;975;566;1149
203;391;240;494;318;648;399;807;490;982;571;1149
194;391;242;484;327;639;401;816;481;982;573;1149
195;392;240;494;318;648;400;815;492;982;564;1151
195;391;250;485;327;639;401;815;482;982;573;1150
194;390;240;486;317;648;407;807;491;983;573;1149
194;397;241;484;326;639;402;815;482;982;574;1149
195;393;240;493;317;648;399;815;491;982;564;1151
194;391;249;484;326;639;409;815;482;982;573;1149
194;400;240;494;317;648;400;815;491;982;564;1157
196;391;248;486;317;641;409;806;483;982;573;1149
194;400;240;485;320;646;400;815;482;975;566;1149
203;391;240;494;317;648;400;808;491;982;572;1149
194;391;242;485;326;639;401;815;482;982;573;1149
194;392;240;493;318;649;399;815;491;982;571;1151
194;397;240;492;319;648;400;815;482;975;566;1149
204;391;240;486;318;641;409;806;484;983;573;1149
195;399;240;491;318;648;400;815;482;975;566;1149
203;391;240;485;317;641;409;814;482;982;573;1149
194;400;240;493;317;648;399;815;491;982;564;1149
196;390;249;485;326;639;409;815;482;983;573;1149
195;392;240;493;317;648;400;808;491;982;571;1149
194;391;242;484;320;646;400;815;482;975;567;1149
203;391;248;485;324;639;409;813;482;982;573;1149
195;399;240;491;317;648;400;815;489;980;564;1150
203;391;247;485;324;641;409;813;482;983;574;1149
195;400;240;492;317;648;400;815;482;975;566;1149
204;391;248;485;324;639;408;815;482;982;573;1149
195;400;240;491;317;648;400;815;489;982;564;1149
197;391;240;486;317;641;408;806;484;982;573;1149
195;400;240;485;319;646;399;815;482;975;566;1149
203;391;240;493;317;649;400;808;491;982;572;1149
195;390;242;484;327;639;402;815;482;982;566;1149
201;391;240;493;318;648;400;808;491;982;572;1149
194;390;242;484;326;639;408;815;481;982;573;1149
194;392;241;493;317;648;399;815;491;982;565;1158
194;391;249;485;324;639;408;813;482;982;573;1149
194;400;241;492;317;648;400;815;489;982;564;1149
204;390;240;487;317;641;408;806;484;982;573;1149
194;399;240;485;319;646;399;815;482;975;566;1149
204;391;249;491;317;648;399;806;484;983;573;1150
194;400;240;485;319;646;399;815;482;975;566;1149
203;391;240;485;324;639;409;813;481;982;573;1149
194;400;240;493;317;648;400;815;491;982;564;1157
195;391;249;485;326;639;408;815;482;982;573;1149
194;390;240;493;317;648;399;808;491;982;571;1149
194;391;242;485;326;639;402;815;482;982;573;1149
194;393;240;494;317;648;400;815;491;982;564;1151
194;391;249;484;327;639;408;815;481;982;573;1149
195;400;240;493;317;648;400;815;491;982;564;1156
194;391;247;484;317;641;410;806;483;982;573;1149
194;393;240;493;317;648;400;815;491;982;564;1151
194;400;240;491;318;648;400;816;489;982;564;1149
203;391;249;485;324;639;409;813;482;982;573;1149
194;392;240;494;317;648;399;815;491;982;564;1158
194;391;249;484;326;639;409;815;482;982;573;1149
195;392;240;494;317;648;399;815;490;983;564;1150
194;391;249;485;326;639;408;815;482;982;574;1149
195;400;240;494;318;648;400;815;491;982;564;1150
196;391;247;487;317;641;409;806;484;982;573;1149
194;400;240;493;317;648;399;815;489;982;564;1149
196;391;249;485;325;639;409;815;482;982;573;1149
194;400;240;494;317;648;399;815;489;982;564;1149
196;391;249;486;318;640;409;806;483;982;573;1149
194;400;240;485;319;649;400;815;481;975;567;1149
203;391;240;494;317;649;400;808;491;982;571;1149
195;390;242;484;326;639;401;815;482;982;566;1149
204;391;240;486;317;648;407;813;482;982;574;1149
195;400;241;494;317;648;400;816;491;982;564;1157
196;391;249;485;326;639;409;816;482;982;573;1149
195;400;240;493;317;648;400;815;491;982;564;1149
196;391;249;484;326;639;409;815;482;983;573;1149
194;400;240;494;317;648;400;815;490;982;564;1149
196;391;247;484;317;641;408;813;482;982;574;1149
194;392;240;494;317;648;399;815;490;982;565;1151
195;398;240;485;327;639;401;815;481;982;573;1150
194;393;240;494;317;648;400;815;491;982;564;1151
194;391;250;485;327;639;409;815;482;982;573;1149
194;401;240;494;317;648;399;815;491;982;564;1149
196;391;247;487;317;641;409;806;484;982;573;1149
195;400;240;484;319;646;399;815;482;975;566;1149
204;391;241;493;318;648;400;808;491;982;572;1149
195;391;242;484;326;639;409;815;482;982;573;1149
194;392;240;494;318;648;399;815;491;982;564;1151
194;391;249;485;326;639;409;816;482;982;573;1149
194;400;240;493;318;648;400;815;491;982;564;1149
196;390;241;486;317;648;407;806;491;982;574;1149
194;398;240;485;327;639;402;815;482;982;573;1149
194;393;240;494;318;648;399;815;491;982;564;1151
194;391;249;485;326;639;408;815;482;982;574;1149
194;400;240;494;318;648;399;815;491;982;564;1157
194;391;248;485;318;641;409;806;483;982;573;1149
194;400;240;485;319;646;400;815;482;975;566;1149
204;391;240;495;317;648;400;808;491;982;571;1149
194;391;242;484;326;639;402;815;482;982;574;1149
195;392;240;493;317;649;399;815;491;982;564;1151
195;390;249;484;327;639;409;815;481;982;573;1149
194;400;240;494;317;648;399;816;491;982;564;1156
197;391;247;487;317;641;408;806;484;982;573;1149
194;400;240;484;319;646;399;815;482;975;566;1149
203;391;240;494;317;648;400;808;491;982;571;1149
194;390;242;484;327;639;402;815;482;982;574;1149
202;393;240;487;317;641;409;806;484;982;573;1149
194;400;240;492;319;647;400;815;482;975;566;1150
204;391;247;485;324;639;409;814;482;982;573;1149
195;393;240;494;317;648;399;815;491;982;564;1159
