0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;91;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;961
36;77;38;80;40;83;43;89;59;121;90;185;146;294;253;509;480;962
38;77;38;80;40;83;43;89;59;121;90;185;144;293;254;510;478;962
36;77;38;80;41;83;43;89;59;121;90;185;145;294;253;509;479;962
37;77;38;80;40;83;43;89;60;121;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;294;253;509;479;962
36;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;479;962
37;78;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;84;43;89;59;121;90;185;145;293;253;509;480;962
36;77;38;80;40;83;43;89;59;122;90;185;144;293;254;510;478;962
36;77;38;80;40;83;43;89;59;121;90;185;145;293;253;509;480;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;38;80;40;83;43;89;59;121;91;186;145;293;253;509;479;962
37;77;38;80;40;83;43;89;59;121;90;185;144;293;253;510;478;962
36;77;39;80;40;83;43;89;59;121;91;186;144;293;253;510;479;962
36;77;38;80;40;83;44;89;59;121;90;185;144;293;253;509;478;962
36;77;38;80;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;89;59;121;90;185;144;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;90;186;144;293;253;510;479;962
36;77;38;80;40;83;43;91;59;121;90;185;146;294;253;509;478;962
36;77;38;81;40;83;43;89;59;121;91;186;144;293;253;510;478;962
