0B;8B;16B;32B;64B;128B;256B;512B;1024B
280;329;386;501;734;1188;2099;3923;7573
273;329;395;508;734;1186;2099;3924;7566
273;338;394;499;732;1186;2101;3925;7575
282;329;386;499;726;1185;2099;3924;7575
274;330;388;508;734;1195;2098;3917;7566
273;332;395;506;734;1186;2099;3924;7569
275;337;386;499;725;1186;2106;3924;7575
280;330;386;501;734;1188;2098;3923;7574
273;330;395;508;734;1186;2098;3924;7567
273;338;386;499;733;1186;2100;3925;7575
282;330;386;499;726;1186;2100;3925;7576
273;330;386;508;734;1195;2099;3917;7567
273;330;395;508;734;1186;2098;3924;7566
273;332;395;506;734;1186;2099;3924;7568
275;337;386;499;725;1186;2106;3925;7576
280;330;386;501;734;1188;2099;3922;7574
273;330;395;508;734;1186;2098;3925;7566
273;338;386;499;732;1186;2101;3924;7575
283;330;386;499;727;1186;2099;3924;7576
273;329;388;508;734;1195;2099;3917;7566
273;331;395;506;734;1186;2099;3924;7567
275;336;386;499;725;1186;2106;3924;7576
281;330;386;501;734;1187;2099;3922;7573
273;330;395;508;734;1186;2098;3925;7566
273;339;393;499;733;1185;2098;3924;7576
282;329;386;499;727;1186;2099;3924;7576
273;330;388;508;734;1193;2098;3918;7566
273;332;395;506;734;1186;2098;3924;7568
275;337;386;499;725;1186;2106;3924;7575
280;330;386;501;734;1187;2099;3923;7573
274;329;395;508;734;1186;2099;3924;7566
273;339;393;499;732;1186;2101;3924;7576
283;330;387;499;727;1185;2099;3925;7576
273;330;388;508;734;1195;2099;3917;7566
274;332;395;506;734;1187;2099;3924;7568
275;337;386;499;725;1186;2105;3924;7576
281;330;386;501;734;1188;2099;3923;7573
273;329;395;508;734;1193;2099;3924;7566
273;339;394;499;732;1186;2099;3924;7575
282;330;386;499;727;1186;2099;3924;7576
273;329;388;508;734;1193;2099;3917;7566
273;332;395;506;734;1185;2098;3924;7568
275;337;386;499;725;1186;2106;3924;7576
280;329;386;501;734;1187;2099;3923;7574
273;329;396;508;734;1185;2098;3924;7566
274;339;386;499;732;1186;2100;3924;7575
283;330;386;501;727;1186;2099;3925;7575
273;330;395;508;734;1193;2099;3924;7566
273;339;393;499;733;1186;2101;3924;7576
283;330;386;499;727;1186;2099;3924;7576
273;330;388;508;734;1195;2099;3917;7566
273;332;395;506;734;1186;2099;3924;7568
275;337;386;499;725;1186;2106;3924;7576
281;330;386;500;734;1188;2099;3923;7573
273;330;395;508;734;1186;2100;3924;7566
273;338;394;499;733;1186;2101;3924;7576
282;330;386;499;727;1186;2098;3924;7576
273;330;386;501;734;1187;2098;3924;7574
273;330;395;508;735;1186;2099;3924;7566
273;339;386;499;732;1186;2101;3924;7576
282;329;386;500;727;1186;2099;3924;7575
273;329;395;508;734;1194;2099;3924;7566
273;340;393;499;732;1186;2099;3924;7576
283;330;386;499;727;1186;2099;3924;7575
273;329;388;508;734;1195;2099;3917;7566
273;332;395;507;734;1185;2098;3924;7569
275;337;386;499;725;1186;2105;3924;7576
281;330;386;501;734;1188;2099;3923;7574
273;330;395;508;734;1187;2099;3924;7566
273;339;393;499;732;1185;2100;3924;7576
282;337;386;499;725;1186;2098;3925;7575
273;330;386;501;734;1187;2100;3922;7573
273;330;396;508;734;1186;2098;3924;7566
273;339;386;499;732;1185;2101;3924;7576
282;329;386;499;727;1186;2098;3924;7575
273;330;388;508;735;1194;2099;3917;7567
273;331;395;506;734;1186;2099;3924;7569
275;337;386;499;725;1186;2106;3925;7575
280;330;386;501;734;1188;2098;3922;7573
273;329;395;508;734;1186;2099;3924;7566
273;338;393;499;732;1186;2100;3925;7575
282;329;386;499;726;1186;2099;3925;7575
273;330;388;509;734;1195;2098;3917;7566
273;331;396;507;734;1185;2098;3924;7569
275;337;386;499;725;1186;2105;3925;7575
281;329;386;501;734;1187;2098;3922;7574
273;330;395;508;734;1186;2098;3924;7567
273;338;386;499;732;1186;2101;3925;7575
282;329;386;499;726;1186;2100;3924;7575
273;329;388;508;734;1195;2098;3917;7567
273;331;396;507;734;1186;2099;3924;7568
275;337;386;499;732;1186;2101;3924;7575
283;330;386;500;735;1185;2099;3924;7576
273;330;395;508;734;1186;2098;3925;7567
273;338;393;499;732;1186;2100;3925;7575
282;330;386;499;727;1187;2098;3924;7575
273;330;388;508;734;1195;2098;3924;7567
274;331;395;507;734;1186;2098;3925;7566
275;337;386;499;732;1186;2102;3924;7575
280;329;386;501;727;1186;2099;3924;7576
273;330;395;508;734;1186;2099;3924;7567
273;339;393;499;733;1186;2101;3925;7575
283;330;386;499;727;1186;2099;3924;7575
273;330;388;508;734;1195;2099;3917;7567
273;332;396;507;734;1186;2098;3925;7567
275;337;386;499;724;1186;2107;3924;7575
280;330;386;501;734;1188;2098;3922;7574
274;329;396;509;734;1185;2098;3924;7566
273;339;394;499;732;1186;2101;3924;7575
282;330;386;499;727;1185;2099;3924;7575
273;330;388;508;734;1195;2098;3917;7567
273;332;396;506;734;1186;2098;3924;7568
275;337;386;499;725;1187;2106;3924;7575
281;329;386;501;734;1188;2098;3922;7574
273;330;395;508;734;1186;2098;3924;7566
273;338;386;499;732;1186;2101;3924;7575
282;329;386;499;727;1186;2099;3924;7576
273;329;388;508;734;1193;2099;3917;7567
273;331;395;507;734;1186;2099;3925;7568
275;337;386;499;725;1185;2106;3924;7575
281;329;386;501;734;1188;2099;3922;7574
273;329;396;508;734;1186;2098;3924;7566
273;339;386;499;732;1186;2101;3924;7576
282;330;386;499;727;1186;2099;3924;7576
273;330;387;508;734;1193;2098;3917;7566
273;331;395;507;734;1186;2099;3924;7568
275;337;387;499;732;1186;2099;3924;7575
280;330;387;501;727;1186;2098;3924;7576
273;330;395;508;734;1193;2098;3924;7567
273;339;393;499;732;1187;2101;3924;7575
283;329;386;499;727;1186;2098;3924;7576
273;330;388;508;734;1193;2098;3918;7566
273;332;395;506;734;1186;2099;3924;7568
275;337;386;499;725;1186;2106;3924;7576
281;330;386;501;734;1188;2098;3922;7574
273;330;395;509;734;1186;2098;3925;7566
273;339;393;499;733;1186;2100;3924;7576
282;330;386;499;726;1186;2098;3924;7575
273;329;388;508;734;1193;2099;3918;7566
273;331;395;506;734;1185;2098;3924;7568
275;337;386;499;725;1186;2106;3924;7576
280;329;386;500;734;1188;2099;3923;7573
273;329;395;508;734;1186;2099;3925;7566
273;338;387;499;732;1185;2101;3924;7576
282;330;386;501;727;1188;2099;3924;7574
273;329;395;508;734;1186;2099;3925;7566
273;339;394;499;732;1186;2101;3924;7575
283;330;386;499;727;1186;2098;3924;7576
273;330;388;508;734;1193;2098;3918;7566
273;331;395;506;734;1186;2099;3924;7568
275;337;386;499;725;1186;2106;3924;7576
280;329;386;501;734;1187;2098;3922;7574
273;329;395;508;734;1186;2099;3924;7566
273;339;393;499;733;1186;2100;3924;7575
282;330;386;499;727;1186;2099;3924;7576
273;330;386;499;727;1186;2099;3925;7575
273;330;388;508;735;1193;2099;3917;7566
273;332;395;506;734;1186;2099;3924;7569
275;337;386;499;725;1186;2106;3925;7575
280;329;386;501;734;1188;2099;3923;7573
273;329;396;509;734;1186;2099;3924;7567
273;339;394;499;732;1185;2101;3924;7576
283;330;386;499;727;1186;2098;3925;7575
273;330;388;508;734;1193;2098;3917;7566
273;332;395;506;734;1186;2099;3924;7569
275;336;386;499;725;1186;2106;3925;7575
280;329;386;501;734;1188;2100;3922;7573
273;329;396;508;734;1186;2099;3924;7567
273;338;393;499;732;1186;2100;3925;7575
282;330;386;499;727;1185;2099;3924;7575
273;330;388;508;735;1195;2099;3924;7566
273;332;395;506;734;1186;2098;3924;7568
275;337;386;499;732;1186;2098;3924;7575
281;330;386;501;734;1189;2098;3922;7573
273;330;395;508;734;1186;2098;3924;7567
273;338;393;499;732;1186;2101;3924;7575
282;329;386;499;727;1186;2099;3924;7575
273;330;388;509;734;1193;2099;3917;7567
274;332;395;506;734;1185;2099;3924;7569
275;337;386;499;725;1186;2106;3925;7575
280;329;386;501;734;1188;2098;3922;7574
273;330;395;508;734;1186;2098;3924;7567
273;339;393;499;732;1186;2101;3924;7575
282;329;386;499;727;1185;2099;3924;7575
273;330;388;508;734;1195;2098;3924;7566
273;332;396;506;734;1185;2099;3925;7567
275;336;386;499;732;1186;2100;3924;7575
280;330;386;501;734;1188;2098;3922;7574
274;329;395;509;734;1186;2099;3924;7566
273;339;393;499;732;1186;2100;3925;7575
282;330;386;499;727;1187;2098;3924;7575
273;330;387;508;734;1193;2099;3917;7567
273;332;395;506;734;1186;2098;3925;7568
275;337;386;499;725;1186;2107;3924;7575
281;329;386;501;734;1188;2099;3922;7574
274;330;395;508;734;1186;2099;3925;7567
274;339;386;499;732;1186;2100;3925;7575
282;329;386;499;726;1186;2099;3924;7576
273;330;388;508;734;1193;2099;3917;7566
273;332;395;506;734;1186;2099;3925;7568
275;337;386;499;725;1186;2106;3924;7575
280;329;386;501;734;1188;2098;3922;7574
273;329;396;508;734;1186;2098;3924;7566
273;339;393;499;732;1186;2101;3924;7575
282;330;386;499;727;1186;2099;3925;7576
273;330;388;508;734;1194;2098;3917;7566
274;332;395;506;734;1186;2098;3925;7567
275;337;386;499;725;1186;2105;3924;7575
281;330;386;500;734;1188;2098;3923;7573
273;330;395;508;734;1186;2099;3925;7566
273;339;393;499;732;1185;2102;3924;7575
282;329;387;499;727;1185;2098;3924;7576
273;330;388;509;734;1193;2098;3917;7567
273;332;395;506;734;1186;2099;3925;7567
275;337;386;499;725;1185;2106;3924;7576
281;329;386;501;734;1188;2099;3922;7574
273;330;395;508;734;1186;2099;3925;7566
273;338;394;499;732;1186;2100;3924;7575
283;330;386;499;726;1186;2098;3924;7576
273;330;388;508;734;1193;2098;3917;7566
273;332;395;507;734;1186;2099;3924;7568
275;337;386;499;725;1185;2106;3924;7576
280;330;386;501;734;1187;2098;3922;7574
273;330;396;508;734;1186;2098;3925;7566
273;339;386;499;733;1186;2100;3924;7575
283;329;386;499;727;1186;2098;3924;7576
273;330;388;508;734;1193;2098;3917;7566
273;332;395;506;734;1186;2099;3925;7568
275;337;386;499;725;1186;2106;3924;7575
280;330;386;501;734;1188;2099;3925;7574
274;331;395;508;734;1186;2099;3924;7566
273;339;393;499;733;1186;2100;3924;7575
282;330;386;499;727;1186;2099;3924;7576
273;330;388;508;734;1193;2099;3918;7566
273;332;395;506;734;1185;2098;3924;7568
275;337;386;499;725;1186;2105;3924;7576
280;330;386;501;734;1188;2099;3923;7573
274;330;395;509;734;1185;2099;3924;7566
273;332;393;507;734;1186;2099;3924;7568
275;336;386;499;725;1186;2106;3924;7576
280;329;386;501;734;1188;2099;3923;7573
273;329;395;508;734;1187;2099;3924;7566
273;338;386;499;732;1186;2101;3924;7575
282;330;387;499;727;1186;2099;3924;7575
273;330;388;508;734;1193;2100;3916;7566
273;331;396;506;734;1186;2098;3924;7569
275;337;387;499;725;1186;2106;3924;7575
280;330;386;501;734;1188;2099;3923;7574
274;329;395;508;735;1186;2098;3924;7567
273;338;393;499;732;1186;2101;3924;7576
283;329;386;499;726;1186;2099;3925;7575
273;330;388;508;734;1196;2099;3917;7566
273;331;396;507;734;1186;2098;3925;7569
275;336;387;499;725;1186;2106;3925;7575
281;330;386;501;734;1188;2099;3922;7573
273;330;395;509;734;1186;2098;3925;7566
273;339;386;499;732;1185;2100;3924;7575
282;330;387;499;726;1186;2099;3925;7575
273;330;388;508;734;1196;2099;3924;7566
273;331;395;506;734;1186;2098;3924;7569
275;337;386;499;732;1186;2099;3925;7575
280;329;387;500;734;1188;2099;3922;7574
273;330;396;508;734;1186;2098;3924;7567
273;339;386;499;732;1186;2101;3924;7576
283;337;386;499;725;1186;2107;3924;7575
281;330;386;501;735;1187;2099;3923;7574
273;330;395;508;734;1186;2099;3924;7567
273;339;386;499;732;1186;2100;3925;7575
282;329;386;499;727;1186;2098;3924;7575
273;330;388;508;734;1195;2098;3917;7567
273;332;395;506;734;1186;2099;3924;7568
275;337;386;499;725;1186;2107;3924;7575
280;329;386;501;734;1188;2099;3922;7574
273;330;395;508;734;1186;2099;3924;7567
273;339;386;499;732;1186;2100;3925;7575
282;330;386;501;726;1185;2098;3924;7576
273;330;395;508;734;1193;2099;3924;7567
273;339;394;499;732;1186;2101;3925;7575
282;329;387;499;727;1186;2100;3924;7575
273;329;387;508;734;1195;2098;3917;7567
273;331;395;506;734;1186;2098;3924;7568
275;337;386;499;732;1186;2101;3924;7575
283;330;386;500;734;1185;2099;3925;7576
273;329;395;508;734;1193;2099;3924;7567
274;338;393;499;732;1185;2098;3925;7575
282;329;386;499;727;1186;2099;3924;7575
273;330;388;508;734;1195;2098;3917;7567
273;332;395;506;734;1186;2098;3925;7568
275;337;386;499;724;1186;2106;3924;7575
280;330;386;501;734;1188;2098;3922;7574
273;329;395;508;734;1186;2099;3924;7566
273;339;393;499;732;1186;2101;3924;7575
283;329;386;499;727;1186;2098;3924;7576
274;329;388;508;734;1195;2099;3917;7567
273;332;395;506;734;1186;2098;3925;7568
275;337;386;499;725;1186;2107;3924;7575
280;330;386;501;734;1188;2099;3922;7574
273;330;395;508;734;1186;2099;3924;7566
273;338;394;499;732;1186;2101;3924;7575
282;329;386;499;726;1186;2099;3924;7575
274;329;388;508;734;1195;2098;3924;7567
274;331;395;508;734;1186;2099;3925;7566
275;336;386;499;732;1186;2100;3925;7575
283;330;386;501;734;1186;2099;3924;7576
273;330;395;508;734;1193;2099;3925;7566
273;339;393;499;732;1186;2101;3924;7575
283;330;386;499;727;1186;2099;3924;7576
273;330;388;508;734;1195;2098;3917;7567
274;331;395;506;734;1186;2098;3924;7568
275;336;386;499;725;1186;2105;3924;7576
280;329;386;508;734;1188;2098;3923;7574
273;330;395;508;734;1185;2098;3925;7566
273;338;386;499;732;1186;2100;3924;7575
283;330;386;499;727;1186;2098;3924;7576
273;330;388;509;735;1193;2099;3917;7566
274;331;395;507;734;1186;2100;3924;7568
275;337;386;499;725;1186;2106;3924;7575
281;330;387;501;734;1187;2098;3923;7574
273;329;395;508;734;1185;2099;3925;7566
273;338;394;499;732;1186;2100;3924;7575
283;329;386;499;727;1186;2098;3924;7576
273;330;388;508;734;1195;2098;3918;7566
274;332;395;506;734;1186;2100;3924;7568
275;336;386;499;725;1186;2105;3924;7576
280;330;386;501;735;1188;2099;3922;7574
273;330;395;508;735;1186;2099;3925;7566
273;339;393;499;732;1186;2099;3925;7576
282;330;387;499;727;1186;2098;3924;7576
273;330;388;508;734;1195;2099;3918;7566
273;331;395;506;734;1186;2098;3924;7568
275;337;386;499;725;1186;2098;3924;7575
273;329;386;508;734;1195;2099;3916;7566
273;331;395;506;734;1186;2100;3924;7568
275;337;386;499;725;1186;2106;3924;7576
281;329;386;501;734;1188;2099;3922;7574
273;330;395;508;734;1186;2099;3925;7566
273;339;386;499;732;1187;2100;3925;7575
282;329;386;501;734;1188;2099;3924;7575
273;330;388;508;734;1195;2098;3918;7566
274;331;395;507;734;1186;2099;3924;7568
276;337;386;499;725;1185;2106;3924;7576
280;330;386;501;734;1188;2099;3922;7574
273;329;395;508;734;1186;2099;3925;7566
274;339;393;499;732;1186;2099;3924;7576
282;329;386;499;727;1185;2099;3924;7576
273;329;386;508;734;1195;2098;3917;7566
273;331;396;507;734;1185;2098;3924;7568
275;338;386;499;725;1186;2106;3924;7576
280;330;386;501;727;1186;2099;3925;7575
273;330;395;508;734;1193;2099;3924;7566
274;339;393;506;734;1186;2098;3924;7569
275;336;386;499;725;1186;2098;3924;7576
273;330;388;508;734;1195;2098;3917;7566
273;332;395;506;734;1187;2099;3924;7568
275;337;386;499;732;1186;2101;3924;7576
282;330;386;501;734;1188;2099;3925;7573
273;330;395;508;734;1186;2099;3924;7566
274;338;394;499;733;1186;2100;3924;7576
283;330;386;499;727;1185;2098;3924;7576
273;330;388;508;734;1195;2098;3917;7566
273;332;395;506;735;1186;2099;3924;7568
275;337;386;499;725;1186;2105;3924;7576
280;329;386;501;734;1187;2099;3923;7573
273;329;396;508;734;1186;2099;3924;7566
273;339;386;499;732;1186;2101;3924;7576
282;330;386;499;727;1186;2098;3925;7575
273;330;388;509;734;1194;2099;3917;7566
273;332;395;507;734;1185;2098;3924;7569
275;337;386;499;725;1186;2106;3924;7575
280;329;386;501;734;1188;2098;3923;7573
274;329;395;508;734;1187;2099;3924;7566
