0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
39;82;39;83;39;84;57;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;41;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;231;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
40;82;39;83;39;84;57;119;77;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;114;231;186;378;334;675;631;1269
39;82;39;83;39;84;58;119;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;335;675;630;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;378;334;675;631;1268
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;82;39;84;39;84;57;119;75;156;112;230;186;378;335;675;630;1269
39;82;39;83;39;84;57;119;75;156;112;230;186;379;334;674;631;1268
39;83;39;83;39;84;57;119;76;157;112;230;186;378;334;675;630;1268
39;82;40;83;39;84;57;119;75;156;112;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;187;379;334;674;631;1268
39;82;39;83;39;84;57;119;75;157;112;230;186;378;335;675;630;1268
39;82;39;83;40;84;57;119;75;156;113;231;186;378;334;675;631;1269
39;82;39;83;39;84;57;120;75;156;112;230;188;379;334;674;631;1268
39;82;39;83;39;84;57;119;77;156;112;230;186;378;335;675;630;1268
39;82;39;83;40;85;57;119;75;156;112;231;187;378;334;675;631;1269
