0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;47;95;66;136;88;180;131;266;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;392;788;738;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1483
45;94;45;94;46;95;66;136;88;181;131;266;218;441;392;788;739;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
46;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;67;136;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;88;180;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;131;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;786;739;1482
45;93;45;95;46;95;66;136;88;180;131;266;218;440;392;788;738;1484
45;93;45;94;46;95;66;136;88;180;131;266;218;441;391;788;739;1484
45;94;45;94;46;95;66;136;88;181;131;266;218;441;391;788;739;1482
45;93;46;94;46;95;66;136;88;180;131;268;218;440;392;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;788;739;1483
45;93;45;94;46;95;66;136;88;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;95;66;136;88;180;132;268;218;440;391;788;739;1483
45;93;45;94;46;95;66;138;88;180;131;266;219;441;391;786;739;1482
45;93;45;94;46;95;66;136;89;181;131;266;218;440;392;788;738;1482
45;93;45;94;46;97;66;136;88;180;131;268;218;440;391;788;739;1483
