0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;80;53;107;68;137;88;178;108;218;127;259
39;79;53;109;68;137;88;178;107;220;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;178;107;218;127;259
39;80;53;107;68;137;88;178;109;218;127;259
39;79;53;109;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;178;108;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;260
39;79;53;107;68;137;89;178;107;218;127;259
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;220;127;259
39;79;53;107;69;137;88;178;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;260
41;79;53;107;68;137;88;179;107;218;127;259
39;79;54;107;68;137;88;178;107;220;127;259
39;79;53;107;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
39;79;53;107;68;137;88;179;107;218;127;259
39;79;53;107;68;137;88;178;107;218;127;259
39;79;53;109;68;137;88;178;107;218;128;259
39;79;53;107;68;139;88;178;107;218;127;260
