0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;229;464;278;564;328;663
106;216;132;267;180;367;230;464;278;564;327;663
106;216;132;267;180;367;231;464;278;563;327;663
107;216;132;267;180;367;230;464;278;563;327;663
107;216;132;267;180;367;231;464;278;563;327;663
106;216;132;267;180;367;230;465;278;563;327;663
106;217;132;267;180;367;231;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;278;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;132;267;180;366;229;465;279;563;327;663
106;217;133;267;180;366;229;465;279;563;327;663
106;216;133;267;180;366;229;465;280;563;327;663
106;216;133;267;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;465;280;564;327;662
106;216;132;269;180;366;229;466;279;564;327;662
106;216;132;269;180;366;229;465;279;564;327;662
106;216;132;269;180;366;229;464;278;564;328;662
106;216;132;269;181;366;229;464;278;564;329;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;269;182;366;229;464;278;564;328;662
106;216;132;267;182;366;229;464;278;564;328;663
106;216;132;267;182;367;229;464;278;564;328;663
