0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;587;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;345;690
110;219;138;275;190;379;241;482;293;586;344;690
110;219;138;275;190;379;242;482;293;586;344;690
111;219;138;275;190;379;242;482;293;585;344;690
111;219;138;275;190;379;242;482;293;585;344;690
112;219;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;379;242;483;293;585;344;690
110;220;138;275;190;378;242;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;293;585;344;690
110;220;138;275;190;378;241;483;294;585;344;690
110;220;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;585;344;690
110;219;139;275;190;378;241;483;294;586;344;690
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;483;294;587;344;689
110;219;138;276;190;378;241;482;293;587;344;689
110;219;138;276;190;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;587;345;689
110;219;138;276;191;378;241;482;293;586;345;689
110;219;138;275;191;378;241;482;293;587;345;690
110;219;138;275;191;379;241;482;293;587;345;690
