0B-E;0B-D;1B-E;1B-D;4B-E;4B-D;8B-E;8B-D;16B-E;16B-D;32B-E;32B-D
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
147;301;178;364;248;504;318;646;389;790;461;932
147;301;178;364;247;504;318;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
147;301;178;364;247;504;319;646;389;790;461;932
148;301;178;364;247;504;319;646;389;789;461;932
148;301;178;364;247;504;319;646;389;790;460;932
148;301;178;364;247;504;319;647;389;789;460;932
147;302;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;790;460;932
147;303;178;364;247;504;319;647;389;788;460;932
147;303;178;364;247;504;319;647;390;788;460;932
147;303;178;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;303;179;364;247;503;318;647;390;788;460;932
147;302;179;364;247;503;318;647;390;789;460;932
147;301;179;365;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;460;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;366;247;503;318;647;390;790;461;932
147;301;178;365;248;503;318;647;391;790;462;932
147;301;178;366;248;503;318;647;389;790;461;931
147;301;178;366;248;503;318;647;389;790;461;932
147;301;178;366;248;504;318;646;389;790;461;932
