0B;8B;16B;32B;64B;128B;256B;512B;1024B
182;218;255;337;481;774;1364;2540;4892
182;218;255;335;473;772;1357;2533;4890
182;221;262;327;473;767;1357;2535;4885
182;218;255;328;475;775;1359;2542;4891
184;219;255;330;481;774;1364;2539;4892
189;219;257;335;473;772;1357;2533;4889
182;220;262;327;473;767;1358;2535;4884
182;225;255;330;475;775;1359;2541;4892
184;219;255;330;481;774;1365;2540;4891
189;218;257;335;473;772;1357;2532;4890
182;220;262;327;473;767;1358;2535;4885
182;226;255;328;475;774;1359;2542;4892
184;218;254;329;481;774;1364;2539;4893
190;219;257;335;473;772;1357;2532;4890
182;220;262;328;474;775;1357;2535;4893
182;220;255;328;475;766;1359;2542;4893
184;219;255;330;483;774;1364;2539;4892
190;218;257;335;480;772;1357;2532;4889
182;219;263;328;474;767;1357;2535;4884
182;225;255;329;476;774;1359;2541;4892
184;218;255;329;480;775;1364;2539;4892
190;218;257;335;473;772;1358;2533;4889
182;220;262;328;473;767;1358;2534;4884
182;226;255;328;476;774;1360;2542;4892
183;219;255;330;481;774;1365;2541;4892
189;218;256;335;473;772;1358;2532;4893
182;219;262;328;474;774;1357;2534;4892
182;218;255;327;475;766;1359;2541;4893
184;226;255;330;483;775;1365;2539;4892
189;218;257;335;480;772;1357;2532;4890
182;219;262;328;473;775;1357;2534;4892
182;221;255;328;476;767;1359;2541;4892
184;226;255;329;484;774;1364;2539;4892
189;218;257;335;481;773;1357;2533;4889
182;220;262;328;473;767;1358;2535;4885
182;225;254;328;475;774;1359;2542;4892
184;218;255;329;480;774;1364;2540;4891
189;219;257;335;474;772;1357;2532;4890
182;220;262;327;474;774;1357;2534;4893
182;220;255;327;475;774;1359;2541;4892
184;218;255;330;483;774;1364;2539;4893
189;218;257;335;473;772;1357;2532;4891
182;220;262;328;473;767;1357;2534;4885
182;227;255;327;475;774;1359;2542;4891
184;218;255;330;480;774;1364;2540;4892
190;219;257;335;482;772;1358;2532;4893
182;218;262;328;473;775;1357;2534;4892
182;220;255;328;475;767;1360;2542;4892
184;225;255;330;482;774;1365;2540;4892
190;219;257;335;474;773;1357;2533;4893
182;221;262;327;473;767;1357;2535;4892
182;218;255;328;476;767;1360;2541;4893
184;226;255;330;482;774;1365;2539;4892
189;218;257;335;480;772;1357;2532;4893
182;218;262;328;473;767;1357;2535;4885
182;218;255;328;475;774;1359;2541;4892
184;219;254;330;481;774;1364;2539;4892
189;219;257;336;474;772;1357;2532;4892
182;219;262;327;474;767;1357;2534;4885
182;226;255;328;482;774;1359;2542;4892
184;218;255;336;480;774;1365;2540;4892
182;218;255;335;474;772;1357;2533;4891
182;219;262;328;474;767;1357;2535;4884
182;226;255;328;475;774;1359;2541;4892
184;218;255;330;481;774;1364;2539;4893
189;218;257;335;474;772;1358;2532;4893
182;219;262;328;473;767;1357;2535;4885
182;219;255;328;476;774;1359;2541;4892
184;218;255;330;481;774;1364;2539;4892
189;218;257;335;474;772;1358;2532;4892
182;219;262;328;473;767;1357;2534;4884
182;225;254;328;476;775;1359;2541;4892
184;219;255;329;481;775;1365;2540;4892
189;218;257;335;473;772;1357;2532;4892
182;219;262;328;473;767;1357;2535;4885
182;226;255;327;476;774;1359;2543;4892
184;219;255;329;481;774;1365;2539;4892
190;218;256;335;474;772;1357;2532;4893
182;219;262;328;474;767;1357;2534;4885
182;218;255;328;475;774;1359;2542;4893
184;219;255;330;481;774;1365;2540;4892
190;218;257;335;473;772;1357;2533;4891
182;218;263;328;474;775;1357;2534;4892
182;220;254;327;475;767;1359;2541;4891
184;226;255;330;483;775;1364;2540;4892
189;218;257;335;481;773;1357;2532;4892
182;219;262;327;473;767;1357;2534;4884
182;225;255;329;483;774;1359;2542;4892
184;218;255;337;481;774;1364;2540;4892
182;218;257;335;473;772;1357;2533;4892
182;221;262;328;474;767;1357;2534;4886
182;219;254;328;476;774;1359;2542;4893
184;218;255;330;481;774;1365;2540;4893
189;218;257;335;474;773;1357;2532;4892
182;218;262;328;473;767;1357;2534;4885
182;226;255;327;475;774;1359;2541;4892
184;218;255;330;484;775;1365;2540;4892
189;219;257;335;474;773;1358;2532;4892
182;220;262;327;474;767;1358;2534;4884
182;226;255;328;476;774;1359;2543;4892
184;218;255;330;481;774;1365;2541;4892
189;219;257;335;473;773;1358;2532;4892
182;218;262;328;474;767;1357;2534;4885
182;225;255;327;476;774;1359;2541;4892
184;218;255;337;481;775;1365;2540;4892
182;218;263;327;473;773;1357;2534;4893
182;220;255;328;475;767;1359;2542;4891
184;226;254;330;482;774;1364;2539;4892
190;219;257;336;480;772;1357;2532;4892
182;219;262;327;473;767;1357;2535;4884
182;226;255;327;475;775;1359;2542;4892
184;219;255;329;482;774;1365;2539;4892
189;218;257;335;473;772;1357;2533;4892
182;218;262;328;474;767;1357;2535;4884
181;218;255;328;476;774;1359;2541;4892
184;219;254;330;482;774;1364;2540;4892
190;219;257;335;474;772;1357;2533;4893
182;218;262;328;473;772;1357;2534;4892
182;220;254;328;475;775;1359;2541;4892
183;226;255;329;483;774;1366;2539;4891
189;219;257;335;480;772;1357;2533;4891
182;219;262;328;473;772;1357;2534;4892
182;221;255;328;476;767;1359;2542;4892
184;225;255;330;483;774;1367;2539;4892
189;218;257;335;480;772;1357;2532;4892
182;218;262;327;473;767;1357;2535;4885
182;225;255;328;475;775;1359;2543;4892
184;218;255;330;482;774;1364;2539;4893
189;219;257;335;474;772;1357;2532;4892
182;219;262;328;474;767;1357;2534;4886
182;225;255;328;482;774;1359;2541;4892
184;219;255;337;480;774;1364;2539;4892
182;218;257;335;474;772;1357;2532;4891
182;219;263;328;473;773;1358;2535;4891
182;220;254;327;475;767;1359;2542;4891
184;226;254;329;483;775;1365;2540;4892
190;219;257;335;481;773;1358;2532;4892
182;218;262;328;474;767;1357;2535;4884
182;225;255;328;476;774;1359;2542;4891
184;218;255;330;482;774;1364;2541;4891
189;218;257;335;474;772;1357;2533;4892
182;219;262;327;474;767;1357;2534;4885
182;226;255;327;475;774;1359;2541;4892
183;218;254;330;483;774;1365;2539;4893
189;218;257;335;473;772;1358;2532;4891
182;219;262;328;474;772;1357;2534;4892
182;221;255;328;476;767;1360;2541;4891
184;226;254;330;483;774;1367;2540;4892
190;218;256;335;481;773;1358;2532;4892
182;219;262;327;473;767;1358;2534;4885
182;218;254;328;476;775;1359;2543;4891
184;219;255;330;483;774;1364;2540;4892
189;218;257;335;474;773;1357;2532;4892
182;218;262;328;473;772;1357;2534;4893
182;220;255;328;475;766;1359;2541;4892
184;226;254;330;482;774;1366;2540;4892
189;219;257;335;481;772;1357;2532;4893
182;218;262;327;473;767;1357;2534;4884
182;227;255;328;476;774;1360;2541;4892
184;218;255;330;482;775;1364;2540;4891
189;218;256;335;474;772;1357;2532;4892
182;218;262;328;473;767;1357;2534;4884
182;225;254;328;475;774;1360;2542;4892
183;218;254;330;482;774;1365;2541;4892
189;218;257;335;473;772;1358;2534;4891
182;219;262;328;474;767;1357;2534;4891
182;219;255;328;476;774;1359;2542;4893
184;218;255;330;482;774;1364;2539;4893
189;218;257;335;474;772;1357;2532;4892
182;219;262;328;473;767;1357;2535;4884
182;225;255;328;476;774;1359;2542;4892
184;218;255;337;481;774;1364;2539;4892
182;219;257;336;473;773;1357;2532;4892
182;219;262;328;474;767;1357;2534;4885
182;219;254;328;476;774;1360;2541;4891
184;218;254;330;482;774;1365;2539;4892
189;219;257;335;474;773;1358;2533;4891
182;218;262;327;473;767;1357;2535;4885
182;226;255;327;475;774;1359;2542;4892
184;219;255;330;483;774;1365;2539;4892
189;218;257;335;473;773;1358;2532;4892
182;218;262;328;473;767;1357;2534;4885
182;226;255;328;476;774;1359;2541;4892
184;218;255;330;483;774;1364;2539;4892
189;218;257;335;473;772;1357;2533;4892
182;218;262;328;473;767;1358;2534;4884
182;225;255;328;475;775;1360;2541;4891
184;218;254;329;483;774;1365;2539;4892
189;218;257;335;474;772;1357;2533;4892
182;219;262;328;474;767;1357;2535;4884
182;226;255;328;476;774;1359;2542;4891
183;218;254;330;483;774;1364;2539;4893
189;218;257;335;481;772;1357;2532;4893
182;218;262;328;474;767;1357;2534;4886
182;218;255;328;475;775;1359;2542;4893
184;218;255;330;483;774;1364;2539;4892
190;219;257;335;474;772;1357;2533;4892
182;218;263;328;474;772;1357;2534;4892
182;221;255;328;476;767;1359;2541;4891
184;226;255;330;483;775;1365;2539;4892
189;218;256;335;481;772;1358;2533;4891
182;218;262;328;473;772;1357;2534;4892
182;218;255;328;475;775;1359;2543;4892
184;218;255;330;483;774;1364;2540;4892
189;218;257;335;481;772;1357;2533;4892
182;218;262;328;474;767;1358;2534;4885
182;218;255;328;475;774;1359;2541;4893
184;218;255;329;483;774;1364;2539;4892
189;219;257;335;474;772;1358;2532;4892
182;218;262;327;474;767;1357;2534;4884
182;225;255;328;475;774;1359;2541;4892
184;218;255;330;483;775;1365;2540;4892
189;218;257;335;481;774;1357;2532;4892
182;218;263;328;473;767;1358;2534;4885
182;226;255;328;476;774;1359;2543;4892
184;219;255;329;483;774;1365;2540;4892
189;218;257;335;473;772;1357;2533;4892
182;218;262;328;473;773;1357;2535;4893
182;221;255;327;475;767;1359;2541;4893
184;225;255;330;483;774;1367;2539;4892
189;218;257;335;481;772;1357;2532;4893
182;219;263;328;473;767;1357;2534;4885
182;218;255;328;475;774;1359;2541;4892
184;218;255;329;482;774;1365;2540;4892
190;219;256;335;474;772;1357;2532;4892
182;219;262;327;473;773;1357;2534;4891
182;220;254;328;476;767;1359;2541;4892
184;226;255;329;483;774;1365;2541;4892
190;219;257;335;481;774;1364;2533;4892
182;218;262;328;473;773;1357;2534;4892
182;221;255;328;475;767;1359;2541;4892
183;226;255;330;483;774;1366;2540;4892
190;219;257;335;480;772;1357;2532;4892
182;218;262;328;473;773;1357;2534;4892
182;221;255;328;475;767;1359;2542;4892
184;226;255;330;483;774;1366;2539;4892
189;218;257;335;481;772;1357;2532;4891
182;219;262;328;474;767;1357;2534;4884
182;226;255;328;475;775;1359;2541;4892
184;218;255;336;480;774;1366;2539;4892
182;219;257;334;474;772;1358;2533;4892
182;220;255;328;475;767;1359;2542;4891
184;226;255;329;483;774;1365;2540;4892
189;218;256;335;481;772;1357;2532;4892
182;219;262;327;474;767;1358;2535;4885
182;226;255;327;475;774;1359;2541;4893
184;219;255;330;483;774;1364;2539;4892
190;219;257;335;474;773;1357;2532;4891
182;218;263;327;473;767;1357;2534;4885
182;226;255;328;475;774;1359;2541;4892
184;218;255;330;482;775;1364;2540;4891
189;219;257;335;473;772;1358;2532;4892
182;218;262;328;473;772;1357;2534;4892
182;221;254;328;475;774;1359;2542;4892
184;219;254;330;483;774;1364;2540;4892
189;218;257;335;481;773;1357;2532;4893
182;218;262;328;473;773;1357;2534;4893
182;220;255;327;475;774;1359;2541;4893
184;218;255;330;482;775;1364;2540;4892
189;218;256;335;481;772;1358;2532;4892
181;219;262;328;474;772;1357;2534;4892
182;220;255;328;475;774;1359;2541;4892
184;218;255;330;483;775;1365;2540;4892
189;218;257;335;474;773;1358;2532;4891
182;218;262;327;474;772;1358;2534;4892
182;220;254;328;475;767;1359;2543;4892
184;225;255;330;483;774;1366;2540;4892
189;218;257;335;480;772;1357;2532;4892
182;219;262;328;473;767;1357;2534;4885
182;226;255;328;475;774;1359;2541;4893
184;218;255;329;483;774;1364;2540;4893
189;218;257;335;474;772;1358;2532;4892
182;218;263;328;473;767;1357;2535;4885
182;218;255;327;476;774;1359;2541;4892
184;218;255;330;483;774;1364;2540;4892
189;218;257;335;474;772;1357;2532;4891
182;218;262;327;473;767;1357;2535;4885
182;226;255;328;475;774;1360;2542;4891
183;218;254;330;482;774;1364;2540;4891
190;219;257;335;474;772;1357;2533;4892
182;219;262;328;474;767;1357;2534;4891
182;221;255;327;475;774;1359;2541;4892
184;225;254;330;483;774;1364;2540;4893
190;218;257;335;481;772;1357;2533;4892
182;219;262;328;473;772;1357;2534;4892
182;220;254;328;475;767;1359;2542;4892
184;226;255;329;483;774;1365;2540;4892
189;218;256;336;481;772;1357;2533;4891
182;219;262;328;474;767;1357;2534;4884
182;226;255;327;476;774;1359;2541;4892
184;218;255;330;483;774;1365;2539;4892
189;218;257;335;473;772;1357;2533;4892
182;219;262;328;474;767;1357;2535;4885
182;226;255;328;476;774;1359;2541;4892
184;218;255;330;482;774;1365;2539;4892
190;219;257;335;474;773;1357;2533;4893
182;219;262;328;474;772;1358;2535;4893
182;220;255;328;476;774;1359;2541;4892
184;225;254;329;482;775;1359;2541;4892
182;218;255;337;481;774;1364;2540;4892
182;218;257;336;473;772;1357;2532;4892
182;219;262;327;474;767;1358;2535;4884
182;225;255;327;475;774;1359;2541;4891
184;219;255;329;483;774;1365;2539;4892
190;219;256;335;474;772;1358;2533;4891
182;218;263;328;474;767;1357;2535;4884
182;218;254;327;476;774;1360;2541;4892
183;218;254;330;482;774;1364;2540;4892
189;219;257;335;473;773;1357;2532;4893
182;218;263;328;474;772;1357;2534;4893
182;221;262;328;476;767;1358;2534;4885
182;226;255;329;483;774;1359;2541;4892
182;218;255;337;481;775;1365;2540;4892
182;218;264;328;474;772;1358;2533;4892
182;221;255;328;475;775;1359;2541;4892
184;219;255;329;483;774;1368;2539;4892
189;218;257;335;481;773;1357;2532;4892
182;218;262;328;474;767;1357;2536;4885
182;219;255;327;476;774;1359;2542;4892
184;218;255;329;482;774;1365;2539;4892
189;218;257;335;480;772;1357;2533;4893
182;219;262;328;473;767;1357;2534;4886
182;225;254;328;475;775;1359;2542;4893
184;218;255;330;483;774;1364;2539;4892
190;218;257;335;474;773;1357;2532;4891
182;218;263;328;473;767;1357;2534;4884
182;226;255;327;476;774;1359;2542;4892
184;218;255;330;483;775;1364;2539;4892
189;218;257;335;474;772;1358;2532;4891
182;219;263;328;473;767;1357;2534;4884
182;225;255;328;475;774;1359;2542;4892
184;218;255;330;483;774;1365;2541;4891
190;219;257;335;474;773;1357;2533;4893
182;218;262;327;474;767;1357;2535;4885
182;226;255;327;475;774;1359;2542;4892
184;219;255;329;483;774;1365;2540;4893
190;219;257;335;473;772;1357;2532;4892
182;219;262;328;473;772;1357;2534;4892
