0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;44;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
44;95;45;96;45;97;46;99;62;131;94;195;143;292;241;490;454;914
44;95;44;96;45;97;47;99;62;131;93;194;143;292;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;452;914
44;95;44;97;45;97;46;99;62;131;93;195;143;292;241;491;454;914
44;95;44;96;45;97;46;100;62;131;93;194;144;294;241;490;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;453;914
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;45;97;46;99;62;131;93;194;144;294;241;490;454;913
45;95;44;96;45;97;46;99;62;131;93;194;143;292;242;491;453;912
44;95;44;96;46;97;46;99;62;131;93;194;143;294;241;490;454;913
44;95;44;96;45;97;46;99;63;131;93;194;143;292;242;491;453;913
44;95;44;96;45;97;46;99;62;131;93;194;143;294;241;490;454;913
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;453;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;914
44;96;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;98;46;99;62;131;93;194;143;292;241;490;454;913
44;95;44;96;45;97;46;99;62;132;93;194;143;292;242;491;452;913
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;490;454;914
44;95;44;96;45;97;46;99;62;131;93;194;143;292;241;491;452;913
