0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
135;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;313;213;429;331;664;526;1058;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1742;3489
134;271;139;281;145;292;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;140;281;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;272;139;281;145;292;155;314;214;429;330;664;527;1057;921;1841;1743;3488
135;272;139;281;145;292;156;314;214;429;330;664;527;1057;920;1841;1743;3489
134;272;139;281;145;292;156;314;213;429;330;664;527;1057;920;1842;1743;3489
134;271;139;281;145;292;155;314;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;146;293;155;313;213;429;331;664;526;1057;920;1842;1743;3489
134;271;139;281;145;293;155;313;213;431;330;664;526;1057;920;1842;1742;3488
134;271;139;283;145;292;155;313;213;431;330;663;526;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1742;3488
134;271;141;283;145;292;155;313;215;431;330;663;527;1057;920;1842;1743;3488
134;271;139;283;145;292;155;313;214;431;330;663;527;1057;919;1842;1743;3488
134;271;140;281;145;292;155;313;214;429;330;663;527;1057;920;1841;1743;3488
135;272;139;281;145;292;155;314;213;429;330;664;527;1057;920;1841;1743;3488
