0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;72;48;100;67;136;87;177;107;219;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;87;178;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;129;260
35;72;48;100;67;137;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;73;48;100;67;136;87;177;109;219;128;260
35;72;48;101;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;128;261
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;177;109;219;128;260
35;72;48;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;128;262
35;72;48;100;67;136;88;177;107;219;128;260
35;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;68;136;87;177;107;219;129;260
35;72;48;100;67;136;87;177;107;219;128;261
37;72;48;100;67;136;87;178;107;219;128;260
35;72;50;100;67;136;87;177;107;220;128;260
35;72;48;100;67;136;87;177;107;219;129;260
35;72;48;100;67;137;87;177;107;219;128;261
