0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
150;305;181;369;252;508;322;649;393;793;465;936
150;305;181;368;252;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;322;649;393;793;465;936
150;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;649;393;793;465;936
151;305;181;368;251;508;323;648;393;793;465;936
152;304;181;368;251;508;323;650;393;793;464;936
151;306;181;368;251;508;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;793;464;936
150;306;181;368;251;507;323;650;393;792;464;936
150;306;181;368;251;508;323;650;393;792;464;936
150;306;181;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;792;464;936
150;306;182;368;251;506;322;650;394;791;464;936
150;306;182;367;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;182;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;464;936
150;305;181;369;251;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;394;793;465;936
150;305;181;369;252;506;322;650;393;793;465;934
150;305;181;369;252;505;322;650;393;793;465;936
150;305;181;369;252;507;322;649;393;793;465;936
