0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;80;50;104;66;135;85;172;104;209;121;246
39;79;50;105;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;172;104;209;121;246
39;79;50;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;247
39;79;50;104;66;135;86;172;103;209;121;246
39;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;68;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;247
40;79;50;104;66;135;85;173;103;209;121;246
39;79;51;104;66;135;85;172;103;210;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
39;79;50;104;66;135;85;173;103;209;121;246
39;79;50;104;66;135;85;172;103;209;121;246
39;79;50;104;66;135;85;172;103;209;122;246
39;79;50;104;66;136;85;172;103;209;121;247
